動畫名稱
藥師少女的獨語 第2季
我獨自升級 第二季 -起於闇影-
雖然是公會的櫃檯小姐，但因為不想加班所以打算獨自討伐迷宮頭目
全修。
SAKAMOTO DAYS 坂本日常
BanG Dream! Ave Mujica
群花綻放、彷如修羅
金牌得主
我的幸福婚約 第二季
超超超超超喜歡你的100個女朋友 第2季
青春特調蜂蜜檸檬蘇打
Dr.STONE SCIENCE FUTURE
異修羅 第2季
Unnamed Memory 無名記憶 Act.2
在沖繩喜歡上的女孩方言講得太過令人困擾
中年大叔轉生反派千金
黑岩目高不把我的可愛放在眼裡
紅戰士在異世界成了冒險者
我和班上最討厭的女生結婚了。
MOMENTARY LILY 剎那之花
離開A級隊伍的我，和從前的弟子往迷宮深處邁進
魔法製造者～異世界魔法的製作方法～
歡迎來到日本，妖精小姐。
雖然我是注定沒落的貴族 閒來無事只好來深究魔法
S級怪獸《貝希摩斯》被誤認成小貓，成為精靈女孩的騎士（寵物）一起生活
最弱技能《果實大師》～關於能無限食用技能果實（吃了就會死）這件事～
不幸職業【鑑定士】其實是最強的
平凡上班族到異世界當上了四天王的故事
中年男的異世界網購
我想蹺掉太子妃培訓
我與尼特女忍者的莫名同居生活
這公司有我喜歡的人
天久鷹央的推理病歷表
吸吸吸吸吸血鬼
遲早是最強的鍊金術師？
終究，與你相戀
地縛少年花子君 2
一桿青空
魔農傳記 FARMAGIA
想星大天使 Myth of Emotions
魔神創造傳
魔域英雄傳說
灰色：幻影扳機
魔法使的約定
UniteUp! 眾星齊聚 -Uni:Birth-
黃昏旅店
筋肉人 完美超人始祖篇 第二季
魔法使光之美少女！！～MIRAI DAYS～
你和偶像 光之美少女
闇芝居 第14季
「只讓你摸1分鐘哦…」分租雅房不能說的祕密規定。
香格里拉·開拓異境 第二季
Re:從零開始的異世界生活 第三季
青春盒子
平凡職業造就世界最強 第三季
結緣甘神神社
妖怪學校的菜鳥老師！
浪客劍心 京都動亂篇
地。-關於地球的運動-
青之壬生浪
凍牌
Trillion Game
青之祓魔師 第4季
殿下與狗
